Pilot	1161, “Manager, pilot”	3442, “Pilot, balloon”	3512, “Pilot, aeroplane”
Works In Machine Shop	5223, “Mechanic, machine”	5413, “Machinist, shoe”	9260, “Worker, ship”
Wks Cigar Maker	8111, “Maker, cigar”	5419, “Maker, marker”	8111, “Maker, cigarette”
Segar Dealer	3239, “Healer”	8113, “Dewer”	8113, “Degger”
Self Supporting			
Day Laborer	9134, “Labeller”	9139, “Labourer, dock, dry”	8113, “Loomer”
Plumbing	5314, “Plumber”	3565, “Inspector, plumbing”	5314, “Contractor, plumbing”
Peddlar	7124, “Pedlar”	8114, “Pearler”	
Retired Grocer	1254, “Grocer”	5112, “Grower”	8149, “Grouter”
Longshore	9260, “Longshoreman”	8125, “Linisher”	8113, “Lengthener”
Works In Restaurant	9272, “Worker, restaurant”	1223, “Restaurateur”	8129, “Worksetter”
Custom House	9233, “Housemaid”	9249, “Custodian”	6144, “Houseparent”
Keeps Liquor Store	9260, “Storer”	9260, “Keeper, store”	9260, “Storeman”
Butter Dealer	6240, “Butler”	8125, “Batterer”	8114, “Bater”
Restaurant Keeper	8123, “Keeker”	1223, “Restaurateur”	6139, “Keeper, kennel”
Insurance Clerk	4132, “Clerk, insurance”	4159, “Clerk”	4132, “Clerk, assurance”
Mechanic	5223, “Mechanic”	5223, “Mechanic, technical”	5223, “Mechanic-fitter”
Carriage Trimmer	5412, “Trimmer, carriage”	9139, “Trammer”	5224, “Timer”
Hotel Porter	9279, “Porter, hotel”	9260, “Porter”	9279, “Porter, hostel”
Works In Stocking Factory	5411, “Stockinger”	9139, “Worker, factory”	9134, “Worker, factory, PACKING”
Glass Blower	5441, “Blower, glass”	5441, “Blower, glaze”	9272, “Glassman”
