Plaster	5214, “Plater”	5321, “Plasterer”	5413, “Laster”
Organ Builder	5449, “Builder, organ”	5319, “Builder”	3415, “Organist”
Saleslady In Store	9260, “Storer”	8134, “Scalesman”	8134, “Scaleman”
Wagon Maker	5232, “Maker, wagon”	5419, “Maker, marker”	9249, “Macer”
Rag Dealer	1255, “Dealer, rag”	8113, “Dryer, rag”	3239, “Healer”
Brewery Man	2129, “Brewer, brewery”	8111, “Brewer”	8111, “Man, malt”
Does Washing	9233, “Domestic”	9260, “Wharfinger”	8117, “Dogger”
Tailor Cutter	5414, “Tailor”	5414, “Cutter, tailor's”	8129, “Cutler”
Works On Flowers	8129, “Worksetter”	5322, “Floorer”	1121, “Manager, works”
Day Servant	9233, “Servant”	9233, “Servant, daily”	3312, “Sergeant”
Grainer	3563, “Trainer”	9120, “Drainer”	5221, “Grinder”
Leather Merchant	8113, “Lasher”	7125, “Merchandiser”	8113, “Beater, feather”
Singer	3413, “Singer”	8113, “Swinger”	9260, “Slinger”
Pie Baker	5432, “Baker”	8111, “Maker, pie”	1131, “Banker”
Drug Store	9260, “Storer”	9260, “Storeman”	8134, “Sorter, stores”
Domestic S	9233, “Domestic”	1221, “Bursar, domestic”	6240, “Manager, domestic”
Retired Builder	5319, “Builder”	6240, “Butler”	8137, “Burler”
Missionary	3239, “Missionary”	3239, “Missioner”	
Public School Teacher	1224, “Publican”	2472, “Publicist”	2314, “Teacher, school, comprehensive”
Clerk In Hat Store	4159, “Clerk”	4133, “Clerk, stores”	9260, “Storer”
Works In Shop	9260, “Worker, ship”	5413, “Worker, shoe”	8129, “Worksetter”
Sales Lady In Store	9260, “Storer”	9260, “Storeman”	8134, “Sorter, stores”
